time,0,1,2,3,4,5,6
1961/1/31,,,,,,,
1961/2/28,,,,,,,
1961/3/31,0.98,2.3,1.61,1.19,0.61,0.56,-0.3
1961/4/30,1.06,1.31,1.63,1.65,0.79,0.31,0.08
1961/5/31,0.95,1.6,1.34,1.36,0.89,0.4,0.45
1961/6/30,1.05,-1.19,0.13,0.92,1.66,0.72,0.5
1961/7/31,0.34,-0.42,0.17,0.31,0.8,0.3,-0.22
1961/8/31,0.05,-0.01,0.53,-0.04,0.63,0,-1.27
1961/9/30,-0.05,-0.22,1.23,0.88,0.28,0.01,-2.26
1961/10/31,0.93,-0.53,1.22,1.77,1.24,0.88,-1.72
1961/11/30,0.33,-2.09,1.1,1.96,0.76,0.8,-1.8
1961/12/31,0.04,0.77,1.04,0.93,0.11,0.53,-0.96
1962/1/31,-0.23,1.11,1.54,0.73,-0.81,-0.16,-0.94
1962/2/28,0.53,0.73,0.94,0.69,0.49,0.46,-0.13
1962/3/31,0.24,0,0.4,-0.39,0.47,0.96,-0.1
1962/4/30,0.8,-0.29,-0.04,0.15,0.78,1.67,0.35
1962/5/31,0.32,0.76,-0.4,-0.25,0.36,0.96,0.25
1962/6/30,0.53,1.12,0.83,0.24,0.53,0.8,0.03
1962/7/31,0.4,1.5,0.09,-0.7,0.53,0.99,0.63
1962/8/31,0.01,1.61,0.82,-1.04,-0.25,0.7,0.21
1962/9/30,-0.03,1.53,-0.95,-1.68,-0.05,1.09,0.81
1962/10/31,-1.18,1.05,0.26,-1.04,-1.19,-0.61,-1.15
1962/11/30,-1.07,-0.78,-0.79,-0.91,-0.64,-0.41,-1.15
1962/12/31,-1.47,-0.2,-0.43,-1.07,-1.46,-1.15,-1.45
1963/1/31,-1.39,0.17,-1.55,-1.55,-0.93,-0.25,-1.12
1963/2/28,-0.85,0.67,-1.17,-0.83,-0.54,0.21,-0.57
1963/3/31,0.77,-0.31,-0.58,0.61,0.44,1.46,0.5
1963/4/30,-0.63,-0.25,-0.77,-0.5,-0.77,0.4,-0.7
1963/5/31,-0.98,-0.83,-1.46,-1.28,-0.72,0.04,-0.84
1963/6/30,-0.71,1.08,-0.66,-1.04,0.07,-0.04,-1.43
1963/7/31,-0.08,1.32,-0.47,-0.22,0.88,0.11,-1.47
1963/8/31,0.75,1.32,0.96,0.64,0.87,0.29,-0.64
1963/9/30,0.4,0.91,-0.12,-0.2,0.79,0.17,-0.07
1963/10/31,0.72,0.57,1.05,0.98,0.15,0.49,0.29
1963/11/30,0.78,0.02,0.47,1.63,0.32,1.03,-0.1
1963/12/31,0.57,-0.87,1.18,2.16,-0.38,0.96,-0.39
1964/1/31,-0.15,-0.88,-0.79,0.34,-0.62,0.93,-0.12
1964/2/29,-1.19,-0.87,-0.18,-0.96,-1.27,-0.84,-0.67
1964/3/31,-0.41,-1.31,-0.39,-0.41,0,0.33,-0.44
1964/4/30,-0.38,-2.12,-0.46,-0.55,-0.31,0.52,-0.2
1964/5/31,0.73,-2.09,0.21,-0.09,0.61,1.13,1.1
1964/6/30,0.25,0.51,0,-0.41,-0.19,0.83,0.98
1964/7/31,-0.2,1.04,0.32,-0.13,-0.97,0.18,0.64
1964/8/31,-1.27,1.36,-0.52,-1.03,-1.23,-0.94,-1.16
1964/9/30,-0.33,1.01,-0.04,-0.6,0.32,0.19,-1.67
1964/10/31,0.75,0.6,-0.05,0.52,1.4,0.83,-1.25
1964/11/30,1.44,-0.19,0.56,1.51,1.78,1.34,-0.47
1964/12/31,0.89,-1.37,0.5,1.42,0.88,0.58,0.43
1965/1/31,0.86,-1.18,0.05,-0.08,1.24,0.77,1.01
1965/2/28,0.96,-0.83,0.37,0.79,0.42,0.94,1.11
1965/3/31,0.75,-0.12,0.28,0.52,0.62,0.89,0.62
1965/4/30,0.53,0.7,-0.05,0.58,0.93,0.81,-0.34
1965/5/31,0.63,1.21,0.63,0.87,0.74,0.79,-0.23
1965/6/30,1.51,2.54,1.46,1.47,1.78,1.07,0.09
1965/7/31,1.29,2.03,1.15,1.01,1.35,0.72,0.52
1965/8/31,0.35,1.3,0.42,-0.06,0.45,0.23,-0.12
1965/9/30,-0.93,0.69,-0.39,-1.2,-0.98,-0.48,0.2
1965/10/31,-0.65,0.81,1.29,0.27,-1.5,-0.54,-0.27
1965/11/30,-0.37,1.02,1.43,1.28,-1.08,-0.84,-0.54
1965/12/31,-0.01,0.41,2.2,2.05,-0.93,-0.72,-0.7
1966/1/31,-0.02,0.55,1.23,1.15,-0.41,-1.36,-0.31
1966/2/28,1.48,1.63,1.23,1.19,0.59,1.05,1.36
1966/3/31,0.81,0.46,-1.77,-0.68,1.16,1.57,1.23
1966/4/30,0.06,-0.25,-1.93,-1.3,0.58,1.36,0.65
1966/5/31,2.24,-0.47,-0.63,0.3,2.05,2.66,1.77
1966/6/30,2.2,-0.53,1.12,1.25,1.35,2.69,1.83
1966/7/31,2.98,0.15,1.99,1.51,1.84,2.82,2.64
1966/8/31,2.13,0.66,2.44,1.65,0.73,2.23,2.11
1966/9/30,1.61,0.73,1.46,0.02,0.47,1.91,2.24
1966/10/31,0.63,0,1.03,-0.01,-0.85,1.31,1.51
1966/11/30,-0.71,-0.64,-0.08,-1.68,-1.43,0.12,0.97
1966/12/31,-0.06,0.27,0.63,-0.51,-0.74,-0.17,1
1967/1/31,0.65,2.06,0.81,-1.19,0.46,0.53,1.36
1967/2/28,1.02,1.32,1.42,-0.52,0.72,0.69,1.54
1967/3/31,-0.45,0.58,1.62,-0.81,-0.88,-1.04,-0.09
1967/4/30,-0.16,-0.58,1.78,1.19,-1.03,-1.44,-0.03
1967/5/31,-1.12,-1.47,0.81,-0.25,-1.56,-2.01,-0.42
1967/6/30,-1.38,-1.03,-0.51,-0.52,-1.58,-2.36,-0.58
1967/7/31,-1.91,-1.24,-0.3,-1.51,-1.71,-2.63,-1.22
1967/8/31,-1.9,-0.66,0.12,-1.81,-1.15,-2.2,-1.46
1967/9/30,-0.85,-0.89,1.69,-0.38,-0.66,-1.02,-1.19
1967/10/31,-1.09,-0.09,1.42,-0.58,-0.84,-1.01,-1.43
1967/11/30,-0.29,0.65,1.83,1.04,-0.87,-0.12,-1
1967/12/31,-0.91,0.42,1.34,-0.13,-1.2,-0.94,-0.98
1968/1/31,0.24,1.16,2.07,1.3,-0.62,0.2,-0.72
1968/2/29,0.42,1.13,2.14,1.47,-0.89,-0.67,-1.13
1968/3/31,-0.2,0.9,1.48,1.26,-1.03,-0.86,-1.37
1968/4/30,0.27,-1.07,1.3,2.36,-1.01,-0.72,-0.6
1968/5/31,-0.58,-0.17,0.61,0.6,-1.27,-0.62,-0.74
1968/6/30,-0.32,0.33,0.98,0.89,-1.34,-0.3,-0.66
1968/7/31,-1.4,0.32,0.61,-1.1,-1.77,-0.8,-1.44
1968/8/31,-1.13,-0.51,1.21,-0.25,-1.37,-0.93,-1.36
1968/9/30,-0.76,-0.4,1.69,-0.49,-0.48,-0.57,-1.63
1968/10/31,-0.34,-0.6,1.69,0.73,0.21,-0.52,-1.84
1968/11/30,-0.79,-0.01,0.9,0.39,-0.05,-0.52,-1.95
1968/12/31,-1.45,-1.83,-0.68,-0.45,-1.19,-1.23,-1.67
1969/1/31,-1.25,-1.15,-1.38,-0.5,-1.3,-0.81,-1.06
1969/2/28,-1.04,-1.82,-1.49,-1.49,-0.77,-0.15,0.26
1969/3/31,-0.54,-2.13,-1.39,-1.15,0.3,0.18,0.3
1969/4/30,-1.37,-1.89,-1.41,-1.4,-0.62,-0.53,-1.22
1969/5/31,-1.33,-2.15,-1.55,-0.94,-0.95,-0.84,-1.56
1969/6/30,-1.07,-2.12,-0.34,-0.33,-0.96,-1.01,-1.67
1969/7/31,-0.23,-1.47,0.22,0.47,0.01,-0.58,-0.5
1969/8/31,-0.38,-0.98,1.69,0.96,-0.62,-1.48,-0.56
1969/9/30,-0.22,-0.43,0.78,0.19,-0.48,-0.57,0.14
1969/10/31,-1.51,-0.64,-0.12,-0.93,-1.44,-1.23,-1.06
1969/11/30,-0.99,-0.2,-1.19,-1.4,-0.53,-0.07,-0.8
1969/12/31,-1.37,-1.44,-0.85,-1.35,-0.83,-1.13,-1.34
1970/1/31,-1.13,0.05,-0.51,-0.52,-0.98,-1.08,-1.15
1970/2/28,-0.68,1.39,-0.23,-0.52,-0.54,-0.61,-0.49
1970/3/31,-0.57,1.87,0.54,-0.1,-1.14,-1.11,-0.35
1970/4/30,-0.73,1.36,0.55,0.32,-1.33,-1.23,-0.65
1970/5/31,-0.76,0.51,0.75,1.07,-1.47,-1.23,-1.13
1970/6/30,0.02,-0.87,0.44,1.91,-0.85,-0.31,-0.83
1970/7/31,-0.48,1.1,1,1.16,-1.34,-0.92,-1.2
1970/8/31,-0.31,0.15,0.41,0.63,-1.04,0.04,-0.37
1970/9/30,-1.74,0.39,-0.4,-0.69,-1.62,-1.44,-1.62
1970/10/31,-1.41,-1.31,-1.48,-1.03,-1.01,-0.83,-0.9
1970/11/30,-1.37,-0.88,-0.67,-1.25,-0.98,-1.59,-0.7
1970/12/31,-0.49,-1.15,0.58,-0.34,-0.57,-1.02,0.25
1971/1/31,0.41,0.53,1.43,1.21,-0.39,-0.52,0.33
1971/2/28,1.63,0.11,0.77,1.91,0.73,0.89,1.12
1971/3/31,0.24,-0.18,0.22,0.78,-0.2,-0.34,0.42
1971/4/30,-0.55,-0.68,0.19,0.42,-1,-0.94,-0.29
1971/5/31,-0.23,0.9,0.73,0.5,-0.77,-0.31,-0.32
1971/6/30,0.31,0.34,0.93,0.54,0.09,0.23,0.05
1971/7/31,0.9,-1.27,1.12,1.15,0.86,0.5,0.37
1971/8/31,0.67,-1.97,1.69,1.43,0.35,-0.33,0.41
1971/9/30,-0.21,-1.9,1.58,1.12,-0.46,-1.1,-0.33
1971/10/31,-0.15,-0.81,1.63,0.44,-0.83,-1.17,1.41
1971/11/30,-0.22,1.11,0.38,-0.69,0.05,-0.96,0.63
1971/12/31,0.4,1.4,0.45,-0.13,0.58,-0.42,0.9
1972/1/31,-0.21,-0.14,-0.42,-0.75,0.68,0.12,-0.24
1972/2/29,0.72,-0.36,0.11,-0.51,1.16,0.73,1.23
1972/3/31,0.7,0.03,-0.35,-0.05,1.14,0.13,1.24
1972/4/30,1.78,0.77,0.99,1.51,1.44,0.44,1.84
1972/5/31,-0.16,-0.1,-0.19,0.46,-0.06,-1,0.33
1972/6/30,0.25,-1.24,-0.14,0,0.59,-0.22,0.9
1972/7/31,0.39,-0.37,-0.23,-0.32,1.71,-0.25,0.1
1972/8/31,1.62,-1.42,0.37,1.01,2.17,0.96,0.77
1972/9/30,1.72,-0.91,0.61,1.17,2.05,0.93,1.12
1972/10/31,1.15,-1.67,-0.93,1.13,1.09,1.28,0.59
1972/11/30,1.82,-0.02,-0.13,1.17,1.06,1.68,1.99
1972/12/31,1.65,-0.13,-0.08,1.41,1.13,1.5,1.67
1973/1/31,1.78,0.49,1.12,1.17,1.24,1.03,1.89
1973/2/28,0.21,1.62,0.41,-1.08,0.42,-0.29,1.08
1973/3/31,-0.19,0.69,0.45,1.43,-0.87,-1.09,-0.87
1973/4/30,-0.18,0.19,0.77,0.92,-0.39,-0.85,-0.58
1973/5/31,0.02,-0.07,0.89,1.33,-0.26,-0.39,-0.54
1973/6/30,-0.21,-0.61,0.78,0.29,-0.46,-0.19,-0.59
1973/7/31,0.21,-1.71,0.04,0.79,0.01,0.33,0.11
1973/8/31,0.49,-1.89,-0.73,1.06,0.68,0.23,0.22
1973/9/30,1.36,-2.12,-0.96,1.84,1.39,0.63,1.37
1973/10/31,1.17,-1.63,-0.4,1.35,1.31,-0.09,1.46
1973/11/30,1.44,-1.61,1.13,0.64,1.21,0.27,1.99
1973/12/31,0.63,0.33,1.12,-1.07,0.85,-0.2,1.44
1974/1/31,0.98,1.08,1.2,-0.63,0.97,0.73,1.34
1974/2/28,-0.52,-0.07,-1.34,-1.38,-0.4,0.41,0.71
1974/3/31,0.74,-0.53,0.23,0.63,0.04,0.82,0.99
1974/4/30,1.58,-1.51,1.26,1.94,1.06,1.27,0.99
1974/5/31,1.09,-0.7,1.67,1.79,0.78,0.65,0.53
1974/6/30,0.76,-0.3,1.38,1.17,0.97,0.19,-0.07
1974/7/31,-0.12,-0.08,1.11,0.23,0.01,-0.14,-1.06
1974/8/31,1.41,-0.16,1.7,0.81,1.67,1.67,-1.14
1974/9/30,1.01,-0.51,1.07,0.83,0.98,1.55,-1.28
1974/10/31,1.7,-0.31,0.28,1.38,1.61,1.63,-0.03
1974/11/30,0.28,0.11,-0.27,0.57,-0.02,0.41,0.42
1974/12/31,1.13,0.88,-0.04,0.08,1.17,0.96,1.29
1975/1/31,1.88,1.24,0.71,1.33,1.72,1.87,1.47
1975/2/28,2.14,1.23,-0.29,1.38,2.14,2.09,1.84
1975/3/31,2.13,-0.46,-0.5,1.87,1.95,1.87,1.9
1975/4/30,0.19,-0.46,-0.58,-0.84,0.43,0.48,0.89
1975/5/31,0.51,0.37,0.1,0.08,0.4,0.69,0.72
1975/6/30,0.92,-0.54,0.61,-0.09,1.02,1.15,1.21
1975/7/31,0.63,-0.33,0.49,0.07,0.2,1.02,1.17
1975/8/31,0.72,-1.1,-0.51,-0.13,0.82,1.31,1.06
1975/9/30,-0.36,-1.02,-1.18,0.01,-0.4,0.1,0.03
1975/10/31,1.61,-1.33,-0.54,0.84,1.61,1.27,1.36
1975/11/30,1.08,-0.66,0.68,0.77,1.02,0.67,0.94
1975/12/31,1.44,0.07,1.03,0.66,1.48,1.28,0.99
1976/1/31,0.38,-0.85,0.41,0.53,0.46,0.13,0.37
1976/2/29,0.4,-0.53,-0.17,0.81,-0.14,0.13,0.56
1976/3/31,1.08,-0.09,0.58,1,0.81,1.21,0.61
1976/4/30,0.59,0.75,-0.06,0.57,0.58,1.1,-0.04
1976/5/31,0.55,-0.02,0.76,0.23,0.74,0.72,0.24
1976/6/30,0.21,-0.11,1,0.04,0.39,0.11,-0.01
1976/7/31,0.61,-1.21,1.05,0.19,0.5,0.52,1.08
1976/8/31,0.44,-0.35,1.15,0.32,-0.19,0.26,1.33
1976/9/30,1.14,-0.39,1.28,0.88,-0.08,1.05,1.9
1976/10/31,1,0.29,1.4,1.47,-0.43,0.65,1.38
1976/11/30,0.84,0.15,1.22,1.36,-0.03,0.96,0.54
1976/12/31,-0.02,0.56,0.24,0.64,-0.34,0.42,-0.23
1977/1/31,-0.48,1.64,-0.06,0.03,-0.6,-0.15,-0.69
1977/2/28,-0.72,2.01,0.27,-0.05,-0.98,-0.99,-0.98
1977/3/31,-0.73,2.13,0.54,0.62,-1.43,-1.07,-1.37
1977/4/30,-0.44,2.52,1.01,0.92,-1.07,-0.76,-1.41
1977/5/31,-0.76,1.53,-0.08,0.15,-1.14,-0.5,-1.25
1977/6/30,-1.28,-1.59,-0.83,-0.88,-1.47,-0.86,-1.21
1977/7/31,-0.79,-1.69,-0.63,-0.02,-0.88,-0.76,-0.25
1977/8/31,-0.18,-1.11,-0.1,0.16,-0.54,0.04,0.71
1977/9/30,1.63,-0.3,1.1,1.57,1.12,1.45,0.98
1977/10/31,0.3,-0.02,0.22,0.71,0.03,0.89,-0.77
1977/11/30,-0.11,0.01,0.08,1.01,0.03,0.14,-0.97
1977/12/31,-1.02,0.93,-0.1,0.76,-1.36,-1.12,-1.21
1978/1/31,0,1.16,0.72,0.81,-0.69,-0.46,-0.03
1978/2/28,1.29,1.11,0.81,1.82,0.11,1.16,0.31
1978/3/31,1.8,0.87,0.05,1.15,1.91,2.04,1.07
1978/4/30,1.43,0.33,-1.15,0.27,2.06,2.24,0.57
1978/5/31,1.18,0.04,-0.1,0.06,1.54,1.53,0.86
1978/6/30,1.21,-1.01,1.31,1.11,0.93,1.13,1.01
1978/7/31,1.14,-0.9,1.5,1.26,0.25,1.16,0.97
1978/8/31,1.55,-0.95,0.83,1.54,1.19,1.63,0.49
1978/9/30,2.08,-0.9,-0.17,1.66,2.06,2.23,0.38
1978/10/31,1.83,-0.71,-0.7,1.69,1.95,1.62,-0.07
1978/11/30,0.77,1.1,-0.86,0.63,0.96,1.07,0.06
1978/12/31,-0.73,1.51,-1.7,-0.55,-0.45,-0.8,-0.31
1979/1/31,-0.8,1.37,-1.65,-1.17,-0.31,-0.64,-0.1
1979/2/28,-0.76,0.16,-1.66,0.39,-0.37,-0.7,-0.94
1979/3/31,-0.85,0.49,-0.87,-0.11,-0.32,-1.12,-0.83
1979/4/30,0.81,0,-0.73,0.35,1.05,1.2,0.6
1979/5/31,1.05,-1.25,-1.31,0.32,1.61,1.74,0.33
